method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,22.734052658081055
cnn,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,22.724388671875
transformer,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,22.661149169921874
llm_sequential,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,22.698786865234375
proposed,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,22.698785888671875
random,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,22.716087341308594
cnn,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,22.68484765625
transformer,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,22.756283203125
llm_sequential,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,22.701875732421875
proposed,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,22.7035517578125
random,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,22.75641632080078
cnn,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,22.621447021484375
transformer,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,22.8108134765625
llm_sequential,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,22.76329150390625
proposed,hard,3,4,4,16,6,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,22.763289794921874
