method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,15.55799674987793
cnn,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,15.433500244140625
transformer,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,15.436780029296875
llm_sequential,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,15.396927490234376
proposed,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,15.396535522460937
random,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,15.463089942932129
cnn,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,15.422174926757812
transformer,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,15.346295043945313
llm_sequential,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,15.34310302734375
proposed,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,15.343712890625
random,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,15.425728797912598
cnn,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,15.502935424804688
transformer,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,15.636951293945312
llm_sequential,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,15.82812353515625
proposed,hard,3,4,4,16,3,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,15.828949462890625
