method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,14.478397369384766
cnn,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,14.484057373046875
transformer,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,14.51740771484375
llm_sequential,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,14.507166625976563
proposed,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,14.472232666015625
random,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,14.520956039428711
cnn,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,14.474348510742187
transformer,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,14.473829467773438
llm_sequential,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,14.571560546875
proposed,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,14.571571166992188
random,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,14.528388977050781
cnn,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,14.544367065429688
transformer,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,14.552386962890624
llm_sequential,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,14.656685913085937
proposed,hard,3,4,4,16,4,2.0,2.0,15.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,14.656705810546875
