method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260606,8000,2000,1000,200,100,6,768,8,23.745012283325195
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260606,8000,2000,1000,200,100,6,768,8,23.766739013671874
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260606,8000,2000,1000,200,100,6,768,8,23.8211787109375
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260606,8000,2000,1000,200,100,6,768,8,23.77957861328125
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260606,8000,2000,1000,200,100,6,768,8,23.77957421875
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260607,8000,2000,1000,200,100,6,768,8,23.8066463470459
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260607,8000,2000,1000,200,100,6,768,8,23.7474580078125
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260607,8000,2000,1000,200,100,6,768,8,23.7586884765625
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260607,8000,2000,1000,200,100,6,768,8,23.89514111328125
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260607,8000,2000,1000,200,100,6,768,8,23.895142333984374
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260608,8000,2000,1000,200,100,6,768,8,23.81246566772461
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260608,8000,2000,1000,200,100,6,768,8,23.8167041015625
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260608,8000,2000,1000,200,100,6,768,8,23.8419208984375
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260608,8000,2000,1000,200,100,6,768,8,23.9757646484375
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.15,20260608,8000,2000,1000,200,100,6,768,8,23.97576318359375
