method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,28.987958908081055
cnn,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,29.012742919921877
transformer,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,29.068938720703127
llm_sequential,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,29.02393408203125
proposed,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,29.0239306640625
random,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,29.05373191833496
cnn,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,28.993086181640624
transformer,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,29.004521484375
llm_sequential,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,29.14309912109375
proposed,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,29.14310009765625
random,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,29.05817222595215
cnn,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,29.06137109375
transformer,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,29.08891943359375
llm_sequential,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,29.226903076171876
proposed,hard,3,4,4,16,4,2.0,2.0,30.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,29.2269033203125
